,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-46.19,168.86,66,49,86,5.01,NZ,1603329840
1,busselton,-9.8,-139.03,77.95,71,0,16.26,PF,1603329840
2,alamosa,-33.65,115.33,60.01,66,9,3,AU,1603329641
3,port hawkesbury,37.47,-105.87,57.2,12,1,13.87,US,1603329840
4,sao filipe,45.62,-61.35,54,100,90,9.17,CA,1603329840
5,broken hill,14.9,-24.5,81.16,74,64,4.79,CV,1603329840
6,new norfolk,-31.95,141.43,80.6,18,0,10.29,AU,1603329841
7,mufumbwe,-42.78,147.06,66,49,10,1.99,AU,1603329678
8,amderma,-13.68,24.8,66.87,50,57,2.51,ZM,1603329841
9,palabuhanratu,,,,,,,,
10,kodiak,,,,,,,,
11,lima,57.79,-152.41,46.4,52,1,12.75,US,1603329452
12,provideniya,-12.04,-77.03,62.6,82,60,14.99,PE,1603329584
13,mataura,64.38,-173.3,41,86,90,4.47,RU,1603329497
14,port shepstone,-46.19,168.86,66,49,86,5.01,NZ,1603329642
15,hasaki,-30.74,30.45,64.49,84,85,15.37,ZA,1603329841
16,babina,35.73,140.83,68,77,75,6.93,JP,1603329796
17,illoqqortoormiut,25.25,78.47,71.28,29,0,2.26,IN,1603329842
18,jamestown,,,,,,,,
19,kapaa,42.1,-79.24,54,93,75,5.82,US,1603329842
20,coos bay,22.08,-159.32,82.99,74,75,12.75,US,1603329842
21,hermanus,43.37,-124.22,57,71,1,17.22,US,1603329746
22,rio grande,-34.42,19.23,53.01,95,0,8.23,ZA,1603329842
23,shingu,-32.03,-52.1,62.01,90,100,7,BR,1603329584
24,batemans bay,33.73,135.98,73.4,69,75,11.41,JP,1603329842
25,port alfred,-35.72,150.18,72,69,68,6.46,AU,1603329843
26,rikitea,-33.59,26.89,62.24,82,0,10.69,ZA,1603329843
27,qaqortoq,-23.12,-134.97,74.46,71,100,4.09,PF,1603329787
28,sentyabrskiy,60.72,-46.03,30.2,80,93,2.24,GL,1603329843
29,katsuura,,,,,,,,
30,kaitangata,35.13,140.3,66.2,59,75,6.93,JP,1603329843
31,los llanos de aridane,-46.28,169.85,59.63,49,98,7.11,NZ,1603329843
32,constitucion,28.66,-17.92,68,68,3,6.93,ES,1603329843
33,ilulissat,-35.33,-72.42,49.42,84,0,8.72,CL,1603329843
34,satitoa,69.22,-51.1,28.4,74,100,4.7,GL,1603329743
35,bluff,,,,,,,,
36,hilo,-46.6,168.33,66,49,86,5.01,NZ,1603329844
37,ust-omchug,19.73,-155.09,84.2,58,1,9.17,US,1603329844
38,bambous virieux,61.15,149.63,23.13,81,100,4.12,RU,1603329844
39,dingle,-20.34,57.76,73.4,78,40,10.29,MU,1603329587
40,marsa matruh,11,122.67,84.09,79,82,12.01,PH,1603329702
41,ushuaia,31.35,27.25,73.4,60,5,5.3,EG,1603329844
42,srednekolymsk,-54.8,-68.3,50,57,75,11.41,AR,1603329569
43,hobart,67.45,153.68,18.52,91,70,5.77,RU,1603329845
44,punta arenas,-42.88,147.33,66,62,75,9.17,AU,1603329756
45,khatanga,-53.15,-70.92,48.2,61,90,4.7,CL,1603329545
46,tiksi,71.97,102.5,3.38,90,52,8.48,RU,1603329845
47,hithadhoo,71.69,128.87,11.26,94,100,5.03,RU,1603329845
48,vaini,-0.6,73.08,82.56,74,8,13.31,MV,1603329600
49,barrow,-21.2,-175.2,75.2,78,75,9.17,TO,1603329845
50,touros,71.29,-156.79,33.8,94,90,17.22,US,1603329609
51,tilichiki,-5.2,-35.46,75.2,100,75,4.7,BR,1603329845
52,porto novo,60.47,166.1,39.69,88,100,6.87,RU,1603329764
53,saint-denis,6.5,2.6,77.77,90,5,4.36,BJ,1603329547
54,georgetown,48.92,2.33,60.8,77,96,8.05,FR,1603329846
55,boundiali,5.41,100.34,80.6,74,40,2.24,MY,1603329846
56,carnarvon,9.52,-6.49,72.73,82,34,1.86,CI,1603329846
57,arraial do cabo,-24.87,113.63,69.8,64,40,18.34,AU,1603329673
58,deputatskiy,-22.97,-42.03,72.97,88,19,14.54,BR,1603329846
59,butaritari,69.3,139.9,7.56,96,100,1.88,RU,1603329846
60,waipawa,3.07,172.79,81.91,71,6,9.06,KI,1603329846
61,castro,-41.41,175.52,63,63,0,18.34,NZ,1603329847
62,kontagora,-24.79,-50.01,59.67,94,19,8.55,BR,1603329708
63,yumen,10.4,5.47,74.84,60,0,0.81,NG,1603329847
64,taolanaro,40.28,97.2,40.01,56,0,6.58,CN,1603329847
65,thompson,,,,,,,,
66,acarau,55.74,-97.86,24.8,92,90,3.36,CA,1603329847
67,cabo san lucas,-2.89,-40.12,79.81,81,3,16.58,BR,1603329742
68,belushya guba,22.89,-109.91,84.99,62,5,3.36,MX,1603329847
69,chokurdakh,,,,,,,,
70,lagoa,70.63,147.92,12.58,95,100,4.41,RU,1603329848
71,cape town,39.05,-27.98,62.62,69,98,19.39,PT,1603329689
72,port lincoln,-33.93,18.42,59,87,0,14.99,ZA,1603329764
73,townsville,-34.73,135.87,61.34,77,100,11.52,AU,1603329849
74,bengkulu,-19.25,146.8,82.4,61,40,14.99,AU,1603329849
75,norman wells,-3.8,102.27,77.61,84,100,3.62,ID,1603329849
76,albany,65.28,-126.83,23,85,75,14.99,CA,1603329850
77,somerset,42.6,-73.97,66.99,83,100,2.77,US,1603329608
78,felidhoo,40.57,-74.55,64,93,90,3.15,US,1603329850
79,bredasdorp,,,,,,,,
80,ribeira grande,-34.53,20.04,57.2,87,0,3.36,ZA,1603329851
81,puerto ayora,38.52,-28.7,63.37,70,98,17.6,PT,1603329666
82,linxia,-0.74,-90.35,68,94,97,1.99,EC,1603329851
83,sao felix do xingu,35.6,103.21,46.81,49,0,0.98,CN,1603329851
84,sorland,-6.64,-51.99,75.33,84,27,0.22,BR,1603329851
85,portland,67.67,12.69,38.26,73,81,12.68,NO,1603329851
86,shellbrook,45.52,-122.68,54,61,15,1.01,US,1603329455
87,sitka,53.22,-106.4,26.6,53,75,6.93,CA,1603329851
88,geraldton,57.05,-135.33,37.4,44,1,8.05,US,1603329851
89,thinadhoo,-28.77,114.6,68,60,0,5.82,AU,1603329852
90,krutikha,0.53,72.93,82.74,76,71,15.03,MV,1603329797
91,kasempa,53.96,81.21,45.23,55,100,13.69,RU,1603329852
92,ahipara,-13.46,25.83,69.31,42,6,5.26,ZM,1603329852
93,mecca,-35.17,173.17,61.9,86,100,5.7,NZ,1603329852
94,matay,21.43,39.83,73.33,23,0,1.74,SA,1603329821
95,acajutla,28.42,30.78,70.68,69,0,6.96,EG,1603329852
96,mbaiki,13.59,-89.83,73,100,95,1.5,SV,1603329852
97,tasiilaq,3.87,17.99,68.34,98,99,1.61,CF,1603329853
98,saint-pierre,65.61,-37.64,30.2,80,100,4.7,GL,1603329853
99,kolda,-21.34,55.48,69.01,68,76,8.05,RE,1603329598
100,kavieng,12.88,-14.95,82.4,88,47,3.11,SN,1603329853
101,dikson,-2.57,150.8,84.52,69,14,8.28,PG,1603329787
102,shubarkuduk,73.51,80.55,23.5,96,97,11.12,RU,1603329685
103,taltal,49.14,56.49,34.39,84,100,10.22,KZ,1603329853
104,saldanha,-25.4,-70.48,57.96,76,8,3.83,CL,1603329586
105,ponta do sol,-33.01,17.94,51.8,81,0,5.82,ZA,1603329853
106,zhezkazgan,32.67,-17.1,62.6,67,75,6.93,PT,1603329853
107,alice springs,47.8,67.71,38.95,65,0,11.14,KZ,1603329754
108,palm coast,-23.7,133.88,93.2,26,0,19.46,AU,1603329833
109,adrar,29.59,-81.21,78.01,94,75,10.13,US,1603329854
110,attawapiskat,20.5,-10.07,84.22,18,0,4.72,MR,1603329854
111,yellowknife,,,,,,,,
112,flin flon,62.46,-114.35,24.8,79,75,16.11,CA,1603329854
113,praia da vitoria,54.77,-101.86,24.98,89,100,3.53,CA,1603329854
114,gainesville,38.73,-27.07,62.6,63,75,17.29,PT,1603329854
115,guerrero negro,29.65,-82.32,73.99,100,90,8.05,US,1603329837
116,lodwar,27.98,-114.06,69.1,82,0,12.37,MX,1603329600
